instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather,RealTemp
11132,2012-04-14,2,1,4,0,0,6,0,1,0.4,0.4091,0.58,0.1343,11,85,96,Sunny/Few Clouds,16.400000000000002
11133,2012-04-14,2,1,4,1,0,6,0,1,0.4,0.4091,0.58,0.1343,10,60,70,Sunny/Few Clouds,16.400000000000002
11134,2012-04-14,2,1,4,2,0,6,0,1,0.38,0.3939,0.66,0.1343,3,53,56,Sunny/Few Clouds,15.58
11135,2012-04-14,2,1,4,3,0,6,0,1,0.36,0.3636,0.66,0.0896,6,26,32,Sunny/Few Clouds,14.76
11136,2012-04-14,2,1,4,4,0,6,0,1,0.36,0.3636,0.71,0.1045,5,9,14,Sunny/Few Clouds,14.76
11137,2012-04-14,2,1,4,5,0,6,0,1,0.36,0.3636,0.66,0.1045,2,5,7,Sunny/Few Clouds,14.76
11138,2012-04-14,2,1,4,6,0,6,0,1,0.34,0.3333,0.76,0.1642,2,19,21,Sunny/Few Clouds,13.940000000000001
11139,2012-04-14,2,1,4,7,0,6,0,1,0.36,0.3636,0.71,0.1045,8,56,64,Sunny/Few Clouds,14.76
11140,2012-04-14,2,1,4,8,0,6,0,1,0.36,0.3485,0.71,0.1343,24,136,160,Sunny/Few Clouds,14.76
11141,2012-04-14,2,1,4,9,0,6,0,1,0.42,0.4242,0.54,0.1343,59,206,265,Sunny/Few Clouds,17.22
11142,2012-04-14,2,1,4,10,0,6,0,1,0.46,0.4545,0.51,0.1642,139,267,406,Sunny/Few Clouds,18.86
11143,2012-04-14,2,1,4,11,0,6,0,1,0.52,0.5,0.45,0.194,207,357,564,Sunny/Few Clouds,21.32
11144,2012-04-14,2,1,4,12,0,6,0,1,0.58,0.5455,0.35,0.2537,274,404,678,Sunny/Few Clouds,23.779999999999998
11145,2012-04-14,2,1,4,13,0,6,0,1,0.62,0.6212,0.33,0.2985,308,370,678,Sunny/Few Clouds,25.419999999999998
11146,2012-04-14,2,1,4,14,0,6,0,2,0.64,0.6212,0.27,0.4478,288,372,660,Foggy,26.240000000000002
11147,2012-04-14,2,1,4,15,0,6,0,2,0.64,0.6212,0.27,0.3582,311,347,658,Foggy,26.240000000000002
11148,2012-04-14,2,1,4,16,0,6,0,2,0.64,0.6212,0.27,0.3582,253,329,582,Foggy,26.240000000000002
11149,2012-04-14,2,1,4,17,0,6,0,2,0.62,0.6212,0.33,0.2537,251,309,560,Foggy,25.419999999999998
11150,2012-04-14,2,1,4,18,0,6,0,2,0.62,0.6212,0.35,0.2239,197,284,481,Foggy,25.419999999999998
11151,2012-04-14,2,1,4,19,0,6,0,2,0.6,0.6212,0.4,0.1642,163,296,459,Foggy,24.599999999999998
11152,2012-04-14,2,1,4,20,0,6,0,2,0.56,0.5303,0.46,0.1343,112,209,321,Foggy,22.96
11153,2012-04-14,2,1,4,21,0,6,0,2,0.56,0.5303,0.43,0.1343,53,167,220,Foggy,22.96
11154,2012-04-14,2,1,4,22,0,6,0,2,0.54,0.5152,0.52,0.1642,64,148,212,Foggy,22.14
11155,2012-04-14,2,1,4,23,0,6,0,2,0.54,0.5152,0.56,0.194,45,151,196,Foggy,22.14
11156,2012-04-15,2,1,4,0,0,0,0,2,0.54,0.5152,0.56,0.194,30,94,124,Foggy,22.14
11157,2012-04-15,2,1,4,1,0,0,0,2,0.54,0.5152,0.56,0.1642,17,89,106,Foggy,22.14
11158,2012-04-15,2,1,4,2,0,0,0,2,0.54,0.5152,0.56,0.1045,20,54,74,Foggy,22.14
11159,2012-04-15,2,1,4,3,0,0,0,2,0.52,0.5,0.59,0.1343,18,27,45,Foggy,21.32
11160,2012-04-15,2,1,4,4,0,0,0,2,0.54,0.5152,0.52,0.0,2,10,12,Foggy,22.14
11161,2012-04-15,2,1,4,5,0,0,0,1,0.5,0.4848,0.68,0.1642,4,6,10,Sunny/Few Clouds,20.5
11162,2012-04-15,2,1,4,6,0,0,0,1,0.5,0.4848,0.63,0.1343,5,11,16,Sunny/Few Clouds,20.5
11163,2012-04-15,2,1,4,7,0,0,0,1,0.5,0.4848,0.63,0.1045,16,30,46,Sunny/Few Clouds,20.5
11164,2012-04-15,2,1,4,8,0,0,0,1,0.52,0.5,0.59,0.0,33,64,97,Sunny/Few Clouds,21.32
11165,2012-04-15,2,1,4,9,0,0,0,1,0.54,0.5152,0.56,0.2239,97,154,251,Sunny/Few Clouds,22.14
11166,2012-04-15,2,1,4,10,0,0,0,1,0.58,0.5455,0.53,0.2239,186,235,421,Sunny/Few Clouds,23.779999999999998
11167,2012-04-15,2,1,4,11,0,0,0,1,0.62,0.6212,0.46,0.2985,227,301,528,Sunny/Few Clouds,25.419999999999998
11168,2012-04-15,2,1,4,12,0,0,0,1,0.64,0.6212,0.44,0.2836,275,360,635,Sunny/Few Clouds,26.240000000000002
11169,2012-04-15,2,1,4,13,0,0,0,1,0.66,0.6212,0.44,0.2836,298,383,681,Sunny/Few Clouds,27.060000000000002
11170,2012-04-15,2,1,4,14,0,0,0,1,0.7,0.6364,0.39,0.2836,282,346,628,Sunny/Few Clouds,28.7
11171,2012-04-15,2,1,4,15,0,0,0,1,0.7,0.6364,0.39,0.3881,266,351,617,Sunny/Few Clouds,28.7
11172,2012-04-15,2,1,4,16,0,0,0,1,0.72,0.6515,0.39,0.3582,286,330,616,Sunny/Few Clouds,29.52
11173,2012-04-15,2,1,4,17,0,0,0,1,0.7,0.6364,0.42,0.3284,262,361,623,Sunny/Few Clouds,28.7
11174,2012-04-15,2,1,4,18,0,0,0,1,0.7,0.6364,0.42,0.2537,184,295,479,Sunny/Few Clouds,28.7
11175,2012-04-15,2,1,4,19,0,0,0,1,0.7,0.6364,0.42,0.2537,114,265,379,Sunny/Few Clouds,28.7
11176,2012-04-15,2,1,4,20,0,0,0,1,0.64,0.6212,0.5,0.2239,86,205,291,Sunny/Few Clouds,26.240000000000002
11177,2012-04-15,2,1,4,21,0,0,0,1,0.62,0.6212,0.57,0.2537,76,153,229,Sunny/Few Clouds,25.419999999999998
11178,2012-04-15,2,1,4,22,0,0,0,1,0.68,0.6364,0.44,0.3582,37,97,134,Sunny/Few Clouds,27.880000000000003
11179,2012-04-15,2,1,4,23,0,0,0,1,0.66,0.6212,0.5,0.3881,25,65,90,Sunny/Few Clouds,27.060000000000002
11180,2012-04-16,2,1,4,0,1,1,0,1,0.64,0.6212,0.53,0.3284,15,26,41,Sunny/Few Clouds,26.240000000000002
11181,2012-04-16,2,1,4,1,1,1,0,1,0.62,0.6061,0.61,0.3582,7,21,28,Sunny/Few Clouds,25.419999999999998
11182,2012-04-16,2,1,4,2,1,1,0,1,0.6,0.6061,0.64,0.2537,5,9,14,Sunny/Few Clouds,24.599999999999998
11183,2012-04-16,2,1,4,3,1,1,0,1,0.58,0.5455,0.68,0.194,3,5,8,Sunny/Few Clouds,23.779999999999998
11184,2012-04-16,2,1,4,4,1,1,0,1,0.54,0.5152,0.77,0.2239,0,6,6,Sunny/Few Clouds,22.14
11185,2012-04-16,2,1,4,5,1,1,0,1,0.54,0.5152,0.77,0.2239,4,34,38,Sunny/Few Clouds,22.14
11186,2012-04-16,2,1,4,6,1,1,0,1,0.52,0.5,0.83,0.1642,10,123,133,Sunny/Few Clouds,21.32
11187,2012-04-16,2,1,4,7,1,1,0,1,0.52,0.5,0.83,0.1343,20,367,387,Sunny/Few Clouds,21.32
11188,2012-04-16,2,1,4,8,1,1,0,2,0.56,0.5303,0.83,0.1642,48,549,597,Foggy,22.96
11189,2012-04-16,2,1,4,9,1,1,0,1,0.62,0.6061,0.69,0.2239,59,238,297,Sunny/Few Clouds,25.419999999999998
11190,2012-04-16,2,1,4,10,1,1,0,1,0.62,0.6061,0.69,0.2537,75,149,224,Sunny/Few Clouds,25.419999999999998
11191,2012-04-16,2,1,4,11,1,1,0,1,0.64,0.6061,0.65,0.2537,115,136,251,Sunny/Few Clouds,26.240000000000002
11192,2012-04-16,2,1,4,12,1,1,0,1,0.68,0.6364,0.57,0.2537,75,196,271,Sunny/Few Clouds,27.880000000000003
11193,2012-04-16,2,1,4,13,1,1,0,1,0.74,0.6667,0.45,0.2985,79,184,263,Sunny/Few Clouds,30.34
11194,2012-04-16,2,1,4,14,1,1,0,1,0.76,0.6818,0.45,0.3284,105,183,288,Sunny/Few Clouds,31.16
11195,2012-04-16,2,1,4,15,1,1,0,1,0.8,0.697,0.33,0.4478,81,194,275,Sunny/Few Clouds,32.800000000000004
11196,2012-04-16,2,1,4,16,1,1,0,1,0.8,0.697,0.33,0.4627,92,266,358,Sunny/Few Clouds,32.800000000000004
11197,2012-04-16,2,1,4,17,1,1,0,1,0.8,0.697,0.33,0.3881,111,601,712,Sunny/Few Clouds,32.800000000000004
11198,2012-04-16,2,1,4,18,1,1,0,1,0.8,0.697,0.31,0.3881,87,589,676,Sunny/Few Clouds,32.800000000000004
11199,2012-04-16,2,1,4,19,1,1,0,1,0.76,0.6667,0.35,0.3881,61,461,522,Sunny/Few Clouds,31.16
11200,2012-04-16,2,1,4,20,1,1,0,1,0.74,0.6515,0.37,0.2985,48,327,375,Sunny/Few Clouds,30.34
11201,2012-04-16,2,1,4,21,1,1,0,1,0.68,0.6364,0.51,0.2537,39,232,271,Sunny/Few Clouds,27.880000000000003
11202,2012-04-16,2,1,4,22,1,1,0,1,0.68,0.6364,0.51,0.2537,35,179,214,Sunny/Few Clouds,27.880000000000003
11203,2012-04-16,2,1,4,23,1,1,0,1,0.7,0.6364,0.45,0.2985,24,97,121,Sunny/Few Clouds,28.7
11204,2012-04-17,2,1,4,0,0,2,1,1,0.66,0.6212,0.54,0.194,10,33,43,Sunny/Few Clouds,27.060000000000002
11205,2012-04-17,2,1,4,1,0,2,1,1,0.64,0.6212,0.57,0.1642,6,5,11,Sunny/Few Clouds,26.240000000000002
11206,2012-04-17,2,1,4,2,0,2,1,1,0.56,0.5303,0.83,0.1045,1,3,4,Sunny/Few Clouds,22.96
11207,2012-04-17,2,1,4,3,0,2,1,1,0.56,0.5303,0.83,0.0896,0,6,6,Sunny/Few Clouds,22.96
11208,2012-04-17,2,1,4,4,0,2,1,1,0.66,0.6212,0.44,0.2239,3,6,9,Sunny/Few Clouds,27.060000000000002
11209,2012-04-17,2,1,4,5,0,2,1,1,0.6,0.6212,0.53,0.2537,1,29,30,Sunny/Few Clouds,24.599999999999998
11210,2012-04-17,2,1,4,6,0,2,1,1,0.6,0.6212,0.46,0.2537,8,136,144,Sunny/Few Clouds,24.599999999999998
11211,2012-04-17,2,1,4,7,0,2,1,1,0.6,0.6212,0.43,0.2537,18,443,461,Sunny/Few Clouds,24.599999999999998
11212,2012-04-17,2,1,4,8,0,2,1,1,0.6,0.6212,0.43,0.2239,42,631,673,Sunny/Few Clouds,24.599999999999998
11213,2012-04-17,2,1,4,9,0,2,1,1,0.6,0.6212,0.38,0.4925,71,329,400,Sunny/Few Clouds,24.599999999999998
11214,2012-04-17,2,1,4,10,0,2,1,1,0.6,0.6212,0.38,0.4179,52,165,217,Sunny/Few Clouds,24.599999999999998
11215,2012-04-17,2,1,4,11,0,2,1,1,0.6,0.6212,0.33,0.4179,65,174,239,Sunny/Few Clouds,24.599999999999998
11216,2012-04-17,2,1,4,12,0,2,1,1,0.6,0.6212,0.33,0.3582,65,179,244,Sunny/Few Clouds,24.599999999999998
11217,2012-04-17,2,1,4,13,0,2,1,1,0.62,0.6212,0.29,0.2537,52,187,239,Sunny/Few Clouds,25.419999999999998
11218,2012-04-17,2,1,4,14,0,2,1,1,0.64,0.6212,0.27,0.2836,59,198,257,Sunny/Few Clouds,26.240000000000002
11219,2012-04-17,2,1,4,15,0,2,1,1,0.66,0.6212,0.24,0.3284,91,217,308,Sunny/Few Clouds,27.060000000000002
11220,2012-04-17,2,1,4,16,0,2,1,1,0.68,0.6212,0.22,0.3582,50,320,370,Sunny/Few Clouds,27.880000000000003
11221,2012-04-17,2,1,4,17,0,2,1,1,0.64,0.6061,0.25,0.2985,108,673,781,Sunny/Few Clouds,26.240000000000002
11222,2012-04-17,2,1,4,18,0,2,1,1,0.64,0.6061,0.25,0.2836,105,670,775,Sunny/Few Clouds,26.240000000000002
11223,2012-04-17,2,1,4,19,0,2,1,1,0.6,0.6061,0.26,0.2537,73,464,537,Sunny/Few Clouds,24.599999999999998
11224,2012-04-17,2,1,4,20,0,2,1,1,0.6,0.6061,0.23,0.2836,44,358,402,Sunny/Few Clouds,24.599999999999998
11225,2012-04-17,2,1,4,21,0,2,1,1,0.56,0.5303,0.26,0.2985,37,260,297,Sunny/Few Clouds,22.96
11226,2012-04-17,2,1,4,22,0,2,1,1,0.54,0.5152,0.3,0.2537,18,144,162,Sunny/Few Clouds,22.14
11227,2012-04-17,2,1,4,23,0,2,1,1,0.54,0.5152,0.32,0.2239,10,72,82,Sunny/Few Clouds,22.14
11228,2012-04-18,2,1,4,0,0,3,1,1,0.54,0.5152,0.32,0.1642,3,35,38,Sunny/Few Clouds,22.14
11229,2012-04-18,2,1,4,1,0,3,1,1,0.52,0.5,0.34,0.194,1,13,14,Sunny/Few Clouds,21.32
11230,2012-04-18,2,1,4,2,0,3,1,2,0.5,0.4848,0.42,0.194,1,8,9,Foggy,20.5
11231,2012-04-18,2,1,4,3,0,3,1,2,0.5,0.4848,0.42,0.2239,0,6,6,Foggy,20.5
11232,2012-04-18,2,1,4,4,0,3,1,2,0.5,0.4848,0.42,0.2836,0,7,7,Foggy,20.5
11233,2012-04-18,2,1,4,5,0,3,1,2,0.5,0.4848,0.39,0.2836,0,34,34,Foggy,20.5
11234,2012-04-18,2,1,4,6,0,3,1,2,0.5,0.4848,0.39,0.2836,6,128,134,Foggy,20.5
11235,2012-04-18,2,1,4,7,0,3,1,2,0.5,0.4848,0.39,0.194,10,408,418,Foggy,20.5
11236,2012-04-18,2,1,4,8,0,3,1,3,0.5,0.4848,0.39,0.194,25,551,576,Light Rain/Snow,20.5
11237,2012-04-18,2,1,4,9,0,3,1,3,0.48,0.4697,0.44,0.2985,20,245,265,Light Rain/Snow,19.68
11238,2012-04-18,2,1,4,10,0,3,1,3,0.48,0.4697,0.47,0.2239,31,116,147,Light Rain/Snow,19.68
11239,2012-04-18,2,1,4,11,0,3,1,3,0.46,0.4545,0.47,0.2537,14,105,119,Light Rain/Snow,18.86
11240,2012-04-18,2,1,4,12,0,3,1,3,0.46,0.4545,0.51,0.1045,15,95,110,Light Rain/Snow,18.86
11241,2012-04-18,2,1,4,13,0,3,1,3,0.46,0.4545,0.59,0.0,13,51,64,Light Rain/Snow,18.86
11242,2012-04-18,2,1,4,14,0,3,1,3,0.44,0.4394,0.72,0.1045,8,43,51,Light Rain/Snow,18.04
11243,2012-04-18,2,1,4,15,0,3,1,3,0.42,0.4242,0.77,0.194,10,88,98,Light Rain/Snow,17.22
11244,2012-04-18,2,1,4,16,0,3,1,2,0.42,0.4242,0.77,0.2239,36,199,235,Foggy,17.22
11245,2012-04-18,2,1,4,17,0,3,1,2,0.42,0.4242,0.77,0.194,46,442,488,Foggy,17.22
11246,2012-04-18,2,1,4,18,0,3,1,2,0.42,0.4242,0.77,0.0,27,478,505,Foggy,17.22
11247,2012-04-18,2,1,4,19,0,3,1,2,0.42,0.4242,0.77,0.1343,26,342,368,Foggy,17.22
11248,2012-04-18,2,1,4,20,0,3,1,2,0.42,0.4242,0.77,0.1045,8,252,260,Foggy,17.22
11249,2012-04-18,2,1,4,21,0,3,1,2,0.42,0.4242,0.82,0.0896,24,165,189,Foggy,17.22
11250,2012-04-18,2,1,4,22,0,3,1,2,0.42,0.4242,0.77,0.0896,9,153,162,Foggy,17.22
11251,2012-04-18,2,1,4,23,0,3,1,2,0.42,0.4242,0.77,0.0,14,56,70,Foggy,17.22
11252,2012-04-19,2,1,4,0,0,4,1,3,0.42,0.4242,0.77,0.0,5,20,25,Light Rain/Snow,17.22
11253,2012-04-19,2,1,4,1,0,4,1,3,0.42,0.4242,0.77,0.1045,2,11,13,Light Rain/Snow,17.22
11254,2012-04-19,2,1,4,2,0,4,1,2,0.42,0.4242,0.77,0.0,2,4,6,Foggy,17.22
11255,2012-04-19,2,1,4,3,0,4,1,2,0.42,0.4242,0.77,0.0,1,3,4,Foggy,17.22
11256,2012-04-19,2,1,4,4,0,4,1,2,0.42,0.4242,0.71,0.0,0,4,4,Foggy,17.22
11257,2012-04-19,2,1,4,5,0,4,1,1,0.4,0.4091,0.82,0.0,0,30,30,Sunny/Few Clouds,16.400000000000002
11258,2012-04-19,2,1,4,6,0,4,1,2,0.4,0.4091,0.82,0.1045,4,116,120,Foggy,16.400000000000002
11259,2012-04-19,2,1,4,7,0,4,1,2,0.4,0.4091,0.82,0.1343,15,391,406,Foggy,16.400000000000002
11260,2012-04-19,2,1,4,8,0,4,1,2,0.42,0.4242,0.82,0.1045,26,651,677,Foggy,17.22
11261,2012-04-19,2,1,4,9,0,4,1,2,0.46,0.4545,0.72,0.0,31,270,301,Foggy,18.86
11262,2012-04-19,2,1,4,10,0,4,1,1,0.48,0.4697,0.63,0.0896,46,143,189,Sunny/Few Clouds,19.68
11263,2012-04-19,2,1,4,11,0,4,1,1,0.52,0.5,0.48,0.0,46,183,229,Sunny/Few Clouds,21.32
11264,2012-04-19,2,1,4,12,0,4,1,1,0.54,0.5152,0.49,0.0,51,213,264,Sunny/Few Clouds,22.14
11265,2012-04-19,2,1,4,13,0,4,1,1,0.56,0.5303,0.46,0.0,52,186,238,Sunny/Few Clouds,22.96
11266,2012-04-19,2,1,4,14,0,4,1,1,0.58,0.5455,0.43,0.0,54,183,237,Sunny/Few Clouds,23.779999999999998
11267,2012-04-19,2,1,4,15,0,4,1,1,0.6,0.6212,0.43,0.0,66,196,262,Sunny/Few Clouds,24.599999999999998
11268,2012-04-19,2,1,4,16,0,4,1,1,0.62,0.6212,0.41,0.1045,63,324,387,Sunny/Few Clouds,25.419999999999998
11269,2012-04-19,2,1,4,17,0,4,1,1,0.6,0.6212,0.43,0.0896,85,663,748,Sunny/Few Clouds,24.599999999999998
11270,2012-04-19,2,1,4,18,0,4,1,1,0.6,0.6212,0.43,0.0896,99,677,776,Sunny/Few Clouds,24.599999999999998
11271,2012-04-19,2,1,4,19,0,4,1,1,0.58,0.5455,0.46,0.1343,70,516,586,Sunny/Few Clouds,23.779999999999998
11272,2012-04-19,2,1,4,20,0,4,1,1,0.56,0.5303,0.49,0.2239,52,352,404,Sunny/Few Clouds,22.96
11273,2012-04-19,2,1,4,21,0,4,1,1,0.52,0.5,0.55,0.1045,27,240,267,Sunny/Few Clouds,21.32
11274,2012-04-19,2,1,4,22,0,4,1,1,0.52,0.5,0.59,0.194,29,219,248,Sunny/Few Clouds,21.32
11275,2012-04-19,2,1,4,23,0,4,1,1,0.5,0.4848,0.63,0.1045,20,124,144,Sunny/Few Clouds,20.5
11276,2012-04-20,2,1,4,0,0,5,1,1,0.48,0.4697,0.67,0.1045,5,59,64,Sunny/Few Clouds,19.68
11277,2012-04-20,2,1,4,1,0,5,1,1,0.46,0.4545,0.82,0.194,3,22,25,Sunny/Few Clouds,18.86
11278,2012-04-20,2,1,4,2,0,5,1,1,0.44,0.4394,0.88,0.194,3,18,21,Sunny/Few Clouds,18.04
11279,2012-04-20,2,1,4,3,0,5,1,1,0.44,0.4394,0.88,0.1045,1,9,10,Sunny/Few Clouds,18.04
11280,2012-04-20,2,1,4,4,0,5,1,1,0.42,0.4242,0.94,0.1045,0,3,3,Sunny/Few Clouds,17.22
11281,2012-04-20,2,1,4,5,0,5,1,1,0.42,0.4242,0.94,0.0,1,24,25,Sunny/Few Clouds,17.22
11282,2012-04-20,2,1,4,6,0,5,1,1,0.42,0.4242,0.88,0.0,8,105,113,Sunny/Few Clouds,17.22
11283,2012-04-20,2,1,4,7,0,5,1,1,0.42,0.4242,0.94,0.0,9,350,359,Sunny/Few Clouds,17.22
11284,2012-04-20,2,1,4,8,0,5,1,1,0.44,0.4394,0.94,0.0,32,668,700,Sunny/Few Clouds,18.04
11285,2012-04-20,2,1,4,9,0,5,1,1,0.46,0.4545,0.88,0.0896,30,329,359,Sunny/Few Clouds,18.86
11286,2012-04-20,2,1,4,10,0,5,1,1,0.5,0.4848,0.77,0.194,67,170,237,Sunny/Few Clouds,20.5
11287,2012-04-20,2,1,4,11,0,5,1,1,0.54,0.5152,0.68,0.1642,64,190,254,Sunny/Few Clouds,22.14
11288,2012-04-20,2,1,4,12,0,5,1,1,0.58,0.5455,0.53,0.194,102,260,362,Sunny/Few Clouds,23.779999999999998
11289,2012-04-20,2,1,4,13,0,5,1,1,0.62,0.6212,0.43,0.194,105,276,381,Sunny/Few Clouds,25.419999999999998
11290,2012-04-20,2,1,4,14,0,5,1,1,0.64,0.6212,0.44,0.2239,156,238,394,Sunny/Few Clouds,26.240000000000002
11291,2012-04-20,2,1,4,15,0,5,1,1,0.64,0.6212,0.47,0.194,145,262,407,Sunny/Few Clouds,26.240000000000002
11292,2012-04-20,2,1,4,16,0,5,1,1,0.66,0.6212,0.44,0.194,151,429,580,Sunny/Few Clouds,27.060000000000002
11293,2012-04-20,2,1,4,17,0,5,1,1,0.64,0.6212,0.47,0.2836,122,697,819,Sunny/Few Clouds,26.240000000000002
11294,2012-04-20,2,1,4,18,0,5,1,1,0.62,0.6212,0.5,0.2836,110,558,668,Sunny/Few Clouds,25.419999999999998
11295,2012-04-20,2,1,4,19,0,5,1,1,0.6,0.6212,0.53,0.194,82,410,492,Sunny/Few Clouds,24.599999999999998
11296,2012-04-20,2,1,4,20,0,5,1,1,0.58,0.5455,0.56,0.1642,52,289,341,Sunny/Few Clouds,23.779999999999998
11297,2012-04-20,2,1,4,21,0,5,1,1,0.56,0.5303,0.68,0.1343,35,252,287,Sunny/Few Clouds,22.96
11298,2012-04-20,2,1,4,22,0,5,1,1,0.54,0.5152,0.68,0.2537,26,176,202,Sunny/Few Clouds,22.14
11299,2012-04-20,2,1,4,23,0,5,1,1,0.52,0.5,0.72,0.1343,31,156,187,Sunny/Few Clouds,21.32
11300,2012-04-21,2,1,4,0,0,6,0,1,0.52,0.5,0.77,0.2239,31,111,142,Sunny/Few Clouds,21.32
11301,2012-04-21,2,1,4,1,0,6,0,1,0.52,0.5,0.77,0.2239,24,64,88,Sunny/Few Clouds,21.32
11302,2012-04-21,2,1,4,2,0,6,0,1,0.52,0.5,0.77,0.1343,12,69,81,Sunny/Few Clouds,21.32
11303,2012-04-21,2,1,4,3,0,6,0,1,0.5,0.4848,0.82,0.2239,4,25,29,Sunny/Few Clouds,20.5
11304,2012-04-21,2,1,4,4,0,6,0,1,0.5,0.4848,0.82,0.2537,0,9,9,Sunny/Few Clouds,20.5
11305,2012-04-21,2,1,4,5,0,6,0,1,0.5,0.4848,0.82,0.2537,0,1,1,Sunny/Few Clouds,20.5
11306,2012-04-21,2,1,4,6,0,6,0,1,0.5,0.4848,0.82,0.2239,10,21,31,Sunny/Few Clouds,20.5
11307,2012-04-21,2,1,4,7,0,6,0,1,0.5,0.4848,0.82,0.2836,21,55,76,Sunny/Few Clouds,20.5
11308,2012-04-21,2,1,4,8,0,6,0,1,0.52,0.5,0.81,0.2537,52,149,201,Sunny/Few Clouds,21.32
11309,2012-04-21,2,1,4,9,0,6,0,1,0.54,0.5152,0.77,0.1642,115,216,331,Sunny/Few Clouds,22.14
11310,2012-04-21,2,1,4,10,0,6,0,1,0.6,0.6061,0.64,0.2836,183,299,482,Sunny/Few Clouds,24.599999999999998
11311,2012-04-21,2,1,4,11,0,6,0,1,0.62,0.6061,0.61,0.3284,260,348,608,Sunny/Few Clouds,25.419999999999998
11312,2012-04-21,2,1,4,12,0,6,0,1,0.64,0.6212,0.57,0.2239,262,378,640,Sunny/Few Clouds,26.240000000000002
11313,2012-04-21,2,1,4,13,0,6,0,1,0.66,0.6212,0.54,0.2239,291,358,649,Sunny/Few Clouds,27.060000000000002
11314,2012-04-21,2,1,4,14,0,6,0,1,0.7,0.6364,0.45,0.2836,278,331,609,Sunny/Few Clouds,28.7
11315,2012-04-21,2,1,4,15,0,6,0,1,0.72,0.6515,0.39,0.2537,267,361,628,Sunny/Few Clouds,29.52
11316,2012-04-21,2,1,4,16,0,6,0,1,0.7,0.6364,0.42,0.3284,267,372,639,Sunny/Few Clouds,28.7
11317,2012-04-21,2,1,4,17,0,6,0,2,0.74,0.6515,0.3,0.3881,259,309,568,Foggy,30.34
11318,2012-04-21,2,1,4,18,0,6,0,2,0.68,0.6364,0.47,0.4925,133,283,416,Foggy,27.880000000000003
11319,2012-04-21,2,1,4,19,0,6,0,3,0.56,0.5303,0.73,0.4925,9,45,54,Light Rain/Snow,22.96
11320,2012-04-21,2,1,4,20,0,6,0,3,0.5,0.4848,0.82,0.2985,5,34,39,Light Rain/Snow,20.5
11321,2012-04-21,2,1,4,21,0,6,0,3,0.5,0.4848,0.82,0.3881,20,82,102,Light Rain/Snow,20.5
11322,2012-04-21,2,1,4,22,0,6,0,1,0.48,0.4697,0.82,0.2985,20,90,110,Sunny/Few Clouds,19.68
11323,2012-04-21,2,1,4,23,0,6,0,2,0.46,0.4545,0.82,0.2836,18,73,91,Foggy,18.86
11324,2012-04-22,2,1,4,0,0,0,0,2,0.46,0.4545,0.82,0.194,32,85,117,Foggy,18.86
11325,2012-04-22,2,1,4,1,0,0,0,2,0.46,0.4545,0.82,0.3284,10,63,73,Foggy,18.86
11326,2012-04-22,2,1,4,2,0,0,0,1,0.46,0.4545,0.72,0.2836,7,49,56,Sunny/Few Clouds,18.86
11327,2012-04-22,2,1,4,3,0,0,0,2,0.44,0.4394,0.82,0.1642,7,33,40,Foggy,18.04
11328,2012-04-22,2,1,4,4,0,0,0,2,0.44,0.4394,0.77,0.1642,0,7,7,Foggy,18.04
11329,2012-04-22,2,1,4,5,0,0,0,2,0.44,0.4394,0.77,0.2239,0,6,6,Foggy,18.04
11330,2012-04-22,2,1,4,6,0,0,0,2,0.44,0.4394,0.72,0.3284,6,6,12,Foggy,18.04
11331,2012-04-22,2,1,4,7,0,0,0,3,0.42,0.4242,0.77,0.3881,2,22,24,Light Rain/Snow,17.22
11332,2012-04-22,2,1,4,8,0,0,0,3,0.4,0.4091,0.82,0.2537,8,43,51,Light Rain/Snow,16.400000000000002
11333,2012-04-22,2,1,4,9,0,0,0,3,0.4,0.4091,0.82,0.2537,8,71,79,Light Rain/Snow,16.400000000000002
11334,2012-04-22,2,1,4,10,0,0,0,3,0.38,0.3939,0.82,0.3284,11,57,68,Light Rain/Snow,15.58
11335,2012-04-22,2,1,4,11,0,0,0,3,0.38,0.3939,0.87,0.2985,7,70,77,Light Rain/Snow,15.58
11336,2012-04-22,2,1,4,12,0,0,0,3,0.38,0.3939,0.87,0.3284,5,56,61,Light Rain/Snow,15.58
11337,2012-04-22,2,1,4,13,0,0,0,3,0.38,0.3939,0.82,0.3582,5,47,52,Light Rain/Snow,15.58
11338,2012-04-22,2,1,4,14,0,0,0,3,0.38,0.3939,0.87,0.3284,3,50,53,Light Rain/Snow,15.58
11339,2012-04-22,2,1,4,15,0,0,0,3,0.38,0.3939,0.87,0.3881,0,38,38,Light Rain/Snow,15.58
11340,2012-04-22,2,1,4,16,0,0,0,3,0.38,0.3939,0.87,0.4478,4,32,36,Light Rain/Snow,15.58
11341,2012-04-22,2,1,4,17,0,0,0,3,0.36,0.3182,0.93,0.4478,2,25,27,Light Rain/Snow,14.76
11342,2012-04-22,2,1,4,18,0,0,0,3,0.36,0.3182,0.93,0.4478,1,38,39,Light Rain/Snow,14.76
11343,2012-04-22,2,1,4,19,0,0,0,3,0.36,0.3182,0.87,0.5224,1,34,35,Light Rain/Snow,14.76
